id,category
489,tourism.sights.memorial.aircraft
490,tourism.sights.memorial.locomotive
491,tourism.sights.memorial.railway_car
492,tourism.sights.memorial.ship
493,tourism.sights.memorial.tank
494,tourism.sights.memorial.tomb
495,tourism.sights.memorial.monument
496,tourism.sights.memorial.wayside_cross
497,tourism.sights.memorial.boundary_stone
498,tourism.sights.memorial.pillory
499,tourism.sights.memorial.milestone
500,religion
501,religion.place_of_worship
502,religion.place_of_worship.buddhism
503,religion.place_of_worship.christianity
504,religion.place_of_worship.hinduism
505,religion.place_of_worship.islam
506,religion.place_of_worship.judaism
507,religion.place_of_worship.shinto
508,religion.place_of_worship.sikhism
509,religion.place_of_worship.multifaith
510,camping
511,camping.camp_pitch
512,camping.camp_site
513,camping.summer_camp
514,camping.caravan_site
515,amenity
516,amenity.toilet
517,amenity.drinking_water
518,amenity.give_box
519,amenity.give_box.food
520,amenity.give_box.books
521,beach
522,beach.beach_resort
523,adult
524,adult.nightclub
525,adult.stripclub
526,adult.swingerclub
527,adult.brothel
528,adult.casino
529,adult.adult_gaming_centre
530,airport
531,airport.international
532,building
533,building.residential
534,building.commercial
535,building.industrial
536,building.office
537,building.catering
538,building.healthcare
539,building.university
540,building.college
541,building.dormitory
542,building.school
543,building.driving_school
544,building.kindergarten
545,building.public_and_civil
546,building.sport
547,building.spa
548,building.place_of_worship
549,building.holiday_house
550,building.accommodation
551,building.tourism
552,building.transportation
553,building.military
554,building.service
555,building.facility
556,building.garage
557,building.parking
558,building.toilet
559,building.prison
560,building.entertainment
561,building.historic
562,ski
563,ski.lift
564,ski.lift.cable_car
565,ski.lift.gondola
566,ski.lift.mixed_lift
567,ski.lift.chair_lift
568,ski.lift.tow_line
569,ski.lift.magic_carpet
570,sport
571,sport.stadium
572,sport.dive_centre
573,sport.horse_riding
574,sport.ice_rink
575,sport.pitch
576,sport.sports_centre
577,sport.swimming_pool
578,sport.track
579,sport.fitness
580,sport.fitness.fitness_centre
581,sport.fitness.fitness_station
582,public_transport
583,public_transport.train
584,public_transport.light_rail
585,public_transport.monorail
586,public_transport.subway
587,public_transport.subway.entrance
588,public_transport.bus
589,public_transport.tram
590,public_transport.ferry
591,public_transport.aerialway
592,administrative
593,administrative.continent_level
594,administrative.country_level
595,administrative.country_part_level
596,administrative.state_level
597,administrative.county_level
598,administrative.city_level
599,administrative.district_level
600,administrative.suburb_level
601,administrative.neighbourhood_level
602,postal_code
603,political
604,low_emission_zone
605,populated_place
606,populated_place.hamlet
607,populated_place.village
608,populated_place.neighbourhood
609,populated_place.suburb
610,populated_place.town
611,populated_place.city_block
612,populated_place.quarter
613,populated_place.city
614,populated_place.allotments
615,populated_place.county
616,populated_place.municipality
617,populated_place.district
618,populated_place.region
619,populated_place.state
620,populated_place.borough
621,populated_place.subdistrict
622,populated_place.province
623,populated_place.township
624,production
625,production.factory
626,production.winery
627,production.brewery
628,production.cheese
629,production.pottery
